target,workload,variant,syscalls,bytes_read,useful_bytes,logical_reads,amplification,hit_rate,wall_ms,span_fetches,span_overreads,agree_twice_suppressed,retained_bytes,items,checksum,note
live pid 418440 (1562 nodes),geometry,page-256,7200,1843200,145800,18200,12.6420,0.6044,5.9549,0,0,0,9216,200,8A43CD7E3BF38705,"200 snapshots"
live pid 418440 (1562 nodes),geometry,page-512,7000,3584000,145800,18200,24.5816,0.6154,5.9933,0,0,0,17920,200,8A43CD7E3BF38705,"200 snapshots"
live pid 418440 (1562 nodes),geometry,page-1k,6600,6758400,145800,18200,46.3539,0.6374,6.5378,0,0,0,33792,200,8A43CD7E3BF38705,"200 snapshots"
live pid 418440 (1562 nodes),geometry,page-2k,3800,7782400,145800,18200,53.3772,0.7912,5.4627,0,0,0,38912,200,8A43CD7E3BF38705,"200 snapshots"
live pid 418440 (1562 nodes),geometry,page-4k,3400,13926400,145800,18200,95.5171,0.8132,5.5272,0,0,0,69632,200,8A43CD7E3BF38705,"200 snapshots"
live pid 418440 (1562 nodes),geometry,page-16k,3400,45875200,145800,18200,314.6447,0.8571,8.1560,0,0,0,212992,200,8A43CD7E3BF38705,"200 snapshots"
live pid 418440 (1562 nodes),geometry,span,3400,4556800,145800,18200,31.2538,0.8132,6.3339,3400,0,0,22784,200,8A43CD7E3BF38705,"200 snapshots"
live pid 418440 (1562 nodes),geometry,hybrid-1k,3400,4556800,145800,18200,31.2538,0.8132,7.2498,3400,0,0,22784,200,8A43CD7E3BF38705,"200 snapshots"
live pid 418440 (1562 nodes),geometry,hybrid-4k,3400,4556800,145800,18200,31.2538,0.8132,5.8935,3400,0,0,22784,200,8A43CD7E3BF38705,"200 snapshots"
live pid 418440 (1562 nodes),geometry,hybrid-4k+text,3400,9523200,145800,18200,65.3169,0.8132,7.2775,3400,0,0,43904,200,8A43CD7E3BF38705,"200 snapshots"
live pid 418440 (1562 nodes),poll,uncached,105740,889140,889140,105740,1.0000,0.0000,68.2387,0,0,0,0,1140,5B5301CD8065A1C5,"20 snapshots"
live pid 418440 (1562 nodes),poll,page-128,8320,1064960,862100,102360,1.2353,0.9189,10.9762,0,0,1140,53248,1140,5B5301CD8065A1C5,"20 snapshots"
live pid 418440 (1562 nodes),poll,page-256,7180,1838080,862100,102360,2.1321,0.9299,10.2502,0,0,1140,91904,1140,5B5301CD8065A1C5,"20 snapshots"
live pid 418440 (1562 nodes),poll,page-512,5980,3061760,862100,102360,3.5515,0.9416,9.8691,0,0,1140,153088,1140,5B5301CD8065A1C5,"20 snapshots"
live pid 418440 (1562 nodes),poll,page-1k,4800,4915200,862100,102360,5.7014,0.9531,10.9401,0,0,1140,245760,1140,5B5301CD8065A1C5,"20 snapshots"
live pid 418440 (1562 nodes),poll,page-2k,3340,6840320,862100,102360,7.9345,0.9674,8.1396,0,0,1140,342016,1140,5B5301CD8065A1C5,"20 snapshots"
live pid 418440 (1562 nodes),poll,page-4k,2340,9584640,862100,102360,11.1178,0.9771,7.9096,0,0,1140,479232,1140,5B5301CD8065A1C5,"20 snapshots"
live pid 418440 (1562 nodes),poll,page-16k,1440,20643840,862100,102360,23.9460,0.9883,7.8213,0,0,1140,983040,1140,5B5301CD8065A1C5,"20 snapshots"
live pid 418440 (1562 nodes),poll,span,4120,2263040,862100,102360,2.6250,0.9599,8.7424,1400,0,1140,111360,1140,5B5301CD8065A1C5,"20 snapshots"
live pid 418440 (1562 nodes),poll,hybrid-1k,3460,4008960,862100,102360,4.6502,0.9663,8.8754,1400,0,1140,199424,1140,5B5301CD8065A1C5,"20 snapshots"
live pid 418440 (1562 nodes),poll,hybrid-4k,2760,7449600,862100,102360,8.6412,0.9731,9.8269,1400,0,1140,372480,1140,5B5301CD8065A1C5,"20 snapshots"
live pid 418440 (1562 nodes),poll,hybrid-4k+text,2760,9489920,862100,102360,11.0079,0.9731,10.1683,1400,0,1140,446720,1140,5B5301CD8065A1C5,"20 snapshots"
synthetic/sequential,walk,uncached,23406,252796,252796,23406,1.0000,0.0000,1.2989,0,0,0,0,2341,109A18331F3F69BE,"Complete"
synthetic/sequential,walk,page-128,6731,861568,196628,16385,4.3817,0.6030,1.6981,0,0,2341,861568,2341,109A18331F3F69BE,"Complete"
synthetic/sequential,walk,page-256,4536,1161216,196628,16385,5.9056,0.7278,1.7264,0,0,2341,1161216,2341,109A18331F3F69BE,"Complete"
synthetic/sequential,walk,page-512,3439,1760768,196628,16385,8.9548,0.7920,1.7157,0,0,2341,1760768,2341,109A18331F3F69BE,"Complete"
synthetic/sequential,walk,page-1k,2890,2959360,196628,16385,15.0506,0.8244,1.7635,0,0,2341,2959360,2341,109A18331F3F69BE,"Complete"
synthetic/sequential,walk,page-2k,1646,3371008,196628,16385,17.1441,0.8998,1.7098,0,0,2341,3371008,2341,109A18331F3F69BE,"Complete"
synthetic/sequential,walk,page-4k,823,3371008,196628,16385,17.1441,0.9498,1.6492,0,0,2341,3371008,2341,109A18331F3F69BE,"Complete"
synthetic/sequential,walk,page-16k,210,3391488,196628,16385,17.2482,0.9874,1.5493,0,0,2341,3375104,2341,109A18331F3F69BE,"Complete"
synthetic/sequential,walk,span,4389,3409536,196628,16385,17.3400,0.7411,2.6828,2341,0,2341,3371008,2341,109A18331F3F69BE,"Complete"
synthetic/sequential,walk,hybrid-1k,2597,3408384,196628,16385,17.3342,0.8468,2.5445,2341,0,2341,3371008,2341,109A18331F3F69BE,"Complete"
